epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,87.7516,0.52564,0.50401,0.97982,0.87207,0.45608,0.54405,0.27569,1.81458,2.01103,1.50971,1.98016e-05,1.98016e-05,1.98016e-05
82,88.814,0.82005,0.68061,1.14978,0.87207,0.45608,0.54405,0.27569,1.81458,2.01103,1.50971,1.90949e-05,1.90949e-05,1.90949e-05
83,89.876,0.8127,0.86937,1.23052,0.87207,0.45608,0.54405,0.27569,1.81458,2.01103,1.50971,1.83646e-05,1.83646e-05,1.83646e-05
84,90.9699,0.80346,0.57299,1.21027,0.85054,0.4623,0.57151,0.28696,1.81056,2.0555,1.51203,1.76107e-05,1.76107e-05,1.76107e-05
85,92.0334,0.60696,0.77138,1.12784,0.85054,0.4623,0.57151,0.28696,1.81056,2.0555,1.51203,1.68333e-05,1.68333e-05,1.68333e-05
86,93.1054,0.75873,0.65765,1.11332,0.85054,0.4623,0.57151,0.28696,1.81056,2.0555,1.51203,1.60323e-05,1.60323e-05,1.60323e-05
87,94.1711,0.74124,0.77044,1.07274,0.85054,0.4623,0.57151,0.28696,1.81056,2.0555,1.51203,1.52077e-05,1.52077e-05,1.52077e-05
88,95.2592,0.82079,0.80992,1.404,0.84406,0.46127,0.52221,0.2756,1.80035,2.07445,1.49391,1.43596e-05,1.43596e-05,1.43596e-05
89,96.313,0.97558,0.94609,1.46837,0.84406,0.46127,0.52221,0.2756,1.80035,2.07445,1.49391,1.34879e-05,1.34879e-05,1.34879e-05
90,97.3436,0.636,0.63283,0.99285,0.84406,0.46127,0.52221,0.2756,1.80035,2.07445,1.49391,1.25927e-05,1.25927e-05,1.25927e-05
91,98.3985,0.46586,0.53786,0.89329,0.84406,0.46127,0.52221,0.2756,1.80035,2.07445,1.49391,1.16739e-05,1.16739e-05,1.16739e-05
92,99.4921,0.66772,0.64393,0.96265,0.83124,0.47958,0.53559,0.28428,1.78013,1.97859,1.46806,1.07315e-05,1.07315e-05,1.07315e-05
93,100.544,0.49835,0.45798,0.99978,0.83124,0.47958,0.53559,0.28428,1.78013,1.97859,1.46806,9.76562e-06,9.76562e-06,9.76562e-06
94,101.605,0.54189,0.4488,0.88723,0.83124,0.47958,0.53559,0.28428,1.78013,1.97859,1.46806,8.77613e-06,8.77613e-06,8.77613e-06
95,102.632,0.45296,0.45973,0.90537,0.83124,0.47958,0.53559,0.28428,1.78013,1.97859,1.46806,7.76308e-06,7.76308e-06,7.76308e-06
96,103.782,0.45793,0.52181,0.97452,0.87091,0.46573,0.53667,0.29044,1.75245,1.92062,1.4482,6.72648e-06,6.72648e-06,6.72648e-06
97,104.852,0.68683,0.57892,1.06654,0.87091,0.46573,0.53667,0.29044,1.75245,1.92062,1.4482,5.6663e-06,5.6663e-06,5.6663e-06
98,105.901,0.52719,0.4792,0.91362,0.87091,0.46573,0.53667,0.29044,1.75245,1.92062,1.4482,4.58257e-06,4.58257e-06,4.58257e-06
99,106.995,0.49125,0.47365,0.91375,0.87091,0.46573,0.53667,0.29044,1.75245,1.92062,1.4482,3.47528e-06,3.47528e-06,3.47528e-06
100,108.086,0.57953,0.48807,1.0221,0.84237,0.46667,0.577,0.35419,1.75359,1.83929,1.43411,2.34442e-06,2.34442e-06,2.34442e-06
